fmlv_manufacturer,fmlv_range,fmlv_model,fmlv_product_id,berths,mtplm_kilograms,rrp_pounds,fmlv_type,fmlv_sleeping_area,fmlv_bed_types,fmlv_kitchen_location,washroom_position,shower_toilet_separated,washroom_in_words,fmlv_bathroom_columns,should_be_yes,missing_flag,fmlv_bathroom_layout,fmlv_lounge_location,fmlv_heating,fmlv_refrigeration,fmlv_microwave,drawing_washroom_family,suggested_bathroom_layout,drawing_rear_bed,bathroom_verdict,needs_human_call,flag_kind,notes,bailey_description,floorplan_url,source_url
Bailey,Pegasus Black Edition,Messina,4108,4,1708,32499,type_rigid,both,"make_up, fixed, island",side,side,yes,"On the side, and separated — toilet and shower in facing compartments with a door each",separate_shower_toilet,side_shower_toilet + separate_shower_toilet,side_shower_toilet,separate_shower_toilet,front,blown_air,fridge_freezer,yes,split,side_shower_toilet + separate_shower_toilet,island,flag missing,yes,flag_missing,,"Twin axle, 8-ft wide model for up to 4 people with parallel seat front lounge and rear island king size bed",https://www.baileyofbristol.co.uk/wp-content/uploads/2025/07/Pegasus-Black-Messina-DAY.png,https://www.baileyofbristol.co.uk/touring-caravans/pegasus-black-edition/pegasus-black-edition-messina/
Bailey,Pegasus Black Edition,Portofino,7425,4,1599,29799,type_rigid,both,"make_up, fixed, island",side,side,yes,"On the side, and separated — toilet and shower in facing compartments with a door each",separate_shower_toilet,side_shower_toilet + separate_shower_toilet,side_shower_toilet,separate_shower_toilet,front,blown_air,fridge_freezer,yes,split,side_shower_toilet + separate_shower_toilet,island,flag missing,yes,flag_missing,,"Single axle, 8-ft wide model for up to 4 people with parallel seat front lounge and rear island king size bed",https://www.baileyofbristol.co.uk/wp-content/uploads/2025/07/Pegasus-Black-Portofino-DAY.png,https://www.baileyofbristol.co.uk/touring-caravans/pegasus-black-edition/pegasus-black-edition-portofino/
Bailey,Phoenix Black Edition,420,7391,2,1142,23599,type_rigid,front,make_up,side,rear,no,"Across the rear, not separated — toilet, basin and shower share one room",rear_shower_toilet,rear_shower_toilet,,rear_shower_toilet,front,blown_air,fridge_freezer,yes,end,rear_shower_toilet,,matches,,,"2 berth, front lounge only","Single axle, 7’3” wide model for 2 people with parallel seat front lounge",https://www.baileyofbristol.co.uk/wp-content/uploads/2025/07/Phoenix-Black-420-DAY.png,https://www.baileyofbristol.co.uk/touring-caravans/phoenix-black-edition/phoenix-black-edition-420/
Bailey,Phoenix Black Edition,440,7392,4,1372,25149,type_rigid,both,"make_up, fixed",side,rear,no,"Across the rear, not separated — toilet, basin and shower share one room",rear_shower_toilet,rear_shower_toilet,,rear_shower_toilet,front,blown_air,fridge_freezer,yes,end,rear_shower_toilet,corner double,matches,,,,"Single axle, 7’3” wide model for up to 4 people with parallel seat front lounge and rear corner double bed",https://www.baileyofbristol.co.uk/wp-content/uploads/2025/07/Phoenix-Black-440-DAY.png,https://www.baileyofbristol.co.uk/touring-caravans/phoenix-black-edition/phoenix-black-edition-440/
Bailey,Phoenix Black Edition,640,7393,4,1467,25649,type_rigid,both,"make_up, island",side,side,yes,"On the side, and separated — toilet and shower in facing compartments with a door each",side_shower_toilet,side_shower_toilet + separate_shower_toilet,separate_shower_toilet,side_shower_toilet,front,blown_air,fridge_freezer,yes,split,side_shower_toilet + separate_shower_toilet,island,flag missing,yes,flag_missing,,"Single axle, 7’3” wide model for up to 4 people with parallel seat front lounge and rear island double bed",https://www.baileyofbristol.co.uk/wp-content/uploads/2025/07/Phoenix-Black-640-DAY.png,https://www.baileyofbristol.co.uk/touring-caravans/phoenix-black-edition/phoenix-black-edition-640/
Bailey,Phoenix Black Edition,642,7394,4,1464,25649,type_rigid,both,"make_up, fixed_separate",side,rear,no,"Across the rear, not separated — toilet, basin and shower share one room",rear_shower_toilet,rear_shower_toilet,,rear_shower_toilet,front,blown_air,fridge_freezer,yes,end,rear_shower_toilet,twin singles,matches,,,,"Single axle, 7’3” wide model for up to 4 people with parallel seat front lounge and central twin single beds",https://www.baileyofbristol.co.uk/wp-content/uploads/2025/07/Phoenix-Black-642-DAY.png,https://www.baileyofbristol.co.uk/touring-caravans/phoenix-black-edition/phoenix-black-edition-642/
Bailey,Phoenix Black Edition,644,7395,4,1457,25649,type_rigid,both,"make_up, transverse, island",side,rear,no,"Across the rear, not separated — toilet, basin and shower share one room",rear_shower_toilet,rear_shower_toilet,,rear_shower_toilet,front,blown_air,fridge_freezer,yes,end,rear_shower_toilet,transverse island,matches,,,,"Single axle, 7’3” wide model for up to 4 people with parallel seat front lounge and rear transverse island double bed",https://www.baileyofbristol.co.uk/wp-content/uploads/2025/07/Phoenix-Black-644-DAY.png,https://www.baileyofbristol.co.uk/touring-caravans/phoenix-black-edition/phoenix-black-edition-644/
Bailey,Unicorn Deluxe,Cabrera,7403,4,1600,33399,type_rigid,both,make_up,side,side,yes,"On the side, and separated — toilet and shower in facing compartments with a door each",side_shower_toilet,side_shower_toilet + separate_shower_toilet,separate_shower_toilet,side_shower_toilet,front,wet_central,fridge_freezer,yes,split,side_shower_toilet + separate_shower_toilet,island,flag missing,yes,flag_missing,FMLV records make-up beds only; the drawing and Bailey's copy both show a rear island double,"Single axle, 7’5” wide model for up to 4 people with parallel seat front lounge and rear island double bed",https://www.baileyofbristol.co.uk/wp-content/uploads/2024/07/Unicorn-Deluxe-Layout-Cabrera-Day.png,https://www.baileyofbristol.co.uk/touring-caravans/unicorn-deluxe/unicorn-deluxe-cabrera/
Bailey,Unicorn Deluxe,Cadiz,7406,4,1600,33399,type_rigid,both,make_up,side,rear,no,"Across the rear, not separated — toilet, basin and shower share one room",rear_shower_toilet,rear_shower_toilet,,rear_shower_toilet,front,wet_central,fridge_freezer,yes,end,rear_shower_toilet,twin singles,matches,yes,beds,FMLV records make-up beds only; the drawing and Bailey's copy both show rear twin singles,"Single axle, 7’5” wide model for up to 4 people with parallel seat front lounge and rear twin single beds",https://www.baileyofbristol.co.uk/wp-content/uploads/2024/07/Unicorn-Deluxe-Layout-Cadiz-Day.png,https://www.baileyofbristol.co.uk/touring-caravans/unicorn-deluxe/unicorn-deluxe-cadiz/
Bailey,Unicorn Deluxe,Madrid,7401,4,1550,32699,type_rigid,both,"make_up, transverse",side,rear,no,"Across the rear, not separated — toilet, basin and shower share one room",rear_shower_toilet,rear_shower_toilet,,rear_shower_toilet,front,wet_central,fridge_freezer,yes,end,rear_shower_toilet,side dinette,matches,,,,"Single axle, 7’5” wide model for up to 4 people with parallel seat front lounge and side dinette",https://www.baileyofbristol.co.uk/wp-content/uploads/2024/07/Unicorn-Deluxe-Layout-Madrid-Day.png,https://www.baileyofbristol.co.uk/touring-caravans/unicorn-deluxe/unicorn-deluxe-madrid/
Bailey,Unicorn Deluxe,Pamplona,7405,4,1759,35999,type_rigid,both,"make_up, island",side,side,yes,"On the side, and separated — toilet and shower in facing compartments with a door each",side_shower_toilet,side_shower_toilet + separate_shower_toilet,separate_shower_toilet,side_shower_toilet,front,wet_central,fridge_freezer,yes,split,side_shower_toilet + separate_shower_toilet,island,flag missing,yes,flag_missing,,"4 berth twin axle caravan, 7’5” wide model for up to 4 people with parallel seat front lounge and rear island double bed",https://www.baileyofbristol.co.uk/wp-content/uploads/2024/07/Unicorn-Deluxe-Layout-Pamplona-Day.png,https://www.baileyofbristol.co.uk/touring-caravans/unicorn-deluxe/unicorn-deluxe-pamplona/
Bailey,Unicorn Deluxe,Seville,7400,2,1450,31599,type_rigid,front,make_up,side,rear,no,"Across the rear, not separated — toilet, basin and shower share one room",rear_shower_toilet,rear_shower_toilet,,rear_shower_toilet,front,wet_central,fridge_freezer,yes,end,rear_shower_toilet,,matches,,,"2 berth, front lounge only","Single axle, 7’5” wide model for 2 people with parallel seat front lounge",https://www.baileyofbristol.co.uk/wp-content/uploads/2024/07/Unicorn-Deluxe-Layout-Seville-Day.png,https://www.baileyofbristol.co.uk/touring-caravans/unicorn-deluxe/unicorn-deluxe-seville/
Bailey,Unicorn Deluxe,Vigo,7402,4,1600,33399,type_rigid,both,"make_up, transverse",side,rear,no,"Across the rear, not separated — toilet, basin and shower share one room",rear_shower_toilet,rear_shower_toilet,,rear_shower_toilet,front,wet_central,fridge_freezer,yes,end,rear_shower_toilet,transverse island,matches,yes,beds,Bailey's own copy calls it an island bed; FMLV records transverse only,"Single axle, 7’5” wide model for up to 4 people with parallel seat front lounge and rear island double bed",https://www.baileyofbristol.co.uk/wp-content/uploads/2024/07/Unicorn-Deluxe-Layout-Vigo-Day.png,https://www.baileyofbristol.co.uk/touring-caravans/unicorn-deluxe/unicorn-deluxe-vigo/
